trading_day,scan_id,observed_at,stage,seconds
2026-08-01,2026-08-01_001200,2026-08-01T00:12:19.989624-04:00,Excel scanner_output,0.9777
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Paper session lifecycle,0.8581
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Market Data,8.8878
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Indicators,5.9043
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Strategy,0.1522
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Entries,0.0611
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Entry V2 Shadow,0.3111
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Risk,0.0426
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Risk V2 Independent Shadow,0.0028
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Dashboard,0.0441
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Paper position lifecycle,0.023
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Auto paper entries,0.0057
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Telegram,0.0067
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Entry/Exit V2 Shadow,0.0239
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Learning Engine,1.7136
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Quote attribution,0.0031
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Market opportunity audit,0.0044
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Option liquidity audit,0.0015
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Candidate funnel,0.0011
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Dashboard state,0.0467
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Engine Health,0.0058
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Candidate snapshot,0.1536
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Signal lifecycle,0.0219
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Recommendation outcomes,0.0696
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Candidate evidence,2.7368
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Candidate intelligence,0.0452
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Activity trace,0.0644
2026-08-01,2026-08-01_001740,2026-08-01T00:18:12.353109-04:00,Excel scanner_output,0.7851
2026-08-01,2026-08-01_001941,2026-08-01T00:20:08.335722-04:00,Paper session lifecycle,0.7485
2026-08-01,2026-08-01_001941,2026-08-01T00:20:08.335722-04:00,Market Data,2.2306
2026-08-01,2026-08-01_001941,2026-08-01T00:20:08.335722-04:00,Indicators,5.8988
